conf,id,Ead,xV,xN,xH,Z,rmsd,rmaxsd,dminN,dminH,M,chi,q,mu,Eg,CNN,dCNN,CNS,dCNS,aminS,amaxS,aminN,amaxN,adispN,adispH,lmin,lmax
1N_1H_14x0_graphitic,0,0.02347543158688185,0.0,0.4464285714285714,0.4464285714285714,6,0.3930253600197375,0.7388409429000014,1.4169012259365412,nan,2,0.0,0.14,0.084,0.718059,3.0,0.33333333333333304,3.0,1.0,2.06977381777586,2.1029736000788453,2.057163956757706,2.0999361851271168,2.098353657710042,nan,1.414890656418096,1.4200964209947842
1N_1H_14x0_graphitic,1,1.3486872747442302,0.0,0.4464285714285714,0.4464285714285714,7,0.4072102661657944,0.7315581169000023,0.0,nan,2,0.0,-0.23,0.082,0.718059,3.0,1.0,3.0,1.0,2.057163956757706,2.0999361851271168,2.057163956757706,2.0999361851271168,nan,nan,1.4148864067495466,1.416375847658262
1N_1H_14x0_graphitic,2,0.7478995393956672,0.0,0.4464285714285714,0.4464285714285714,6,0.4028964716683565,0.7421031860999978,7.5550400809826215,nan,2,0.0,0.001,0.063,0.718059,3.0,0.0,3.0,1.0,2.068367220477709,2.0963707040743875,2.057163956757706,2.0999361851271168,1.3664380321578589,nan,1.4281717393743982,1.4288956622038904
1N_1H_14x0_graphitic,3,0.7353019324962324,0.0,0.4464285714285714,0.4464285714285714,6,0.03727708627544325,0.3673327068499983,8.688212414101908,nan,2,0.0,0.0,0.061,0.718059,3.0,0.0,3.0,1.0,2.0692239887029067,2.09681701738832,2.057163956757706,2.0999361851271168,0.4324977078082765,nan,1.4284753232956384,1.431232703481545
1N_1H_14x0_pyridinic,0,-0.6314340283875145,0.4464285714285714,0.4484304932735426,0.4484304932735426,7,0.43483672074000485,0.8227397855999996,0.0,nan,2,0.0,-0.416,0.148,0.763333,2.0,1.0,2.0,1.0,2.0674479047851233,4.2157374023944625,2.0674479047851233,4.2157374023944625,nan,nan,1.3298000555088565,1.3298050010618208
1N_1H_14x0_pyridinic,1,1.0199322427241946,0.4464285714285714,0.4484304932735426,0.4484304932735426,6,0.4198631003138894,0.7575129111999992,7.01565194210158,nan,2,0.0,0.005,-0.047,0.763333,2.0,0.0,3.0,1.0,2.076954026689946,2.0907935590491156,2.0674479047851233,4.2157374023944625,3.1327966473178,nan,1.4145810460261194,1.429712327740753
1N_1H_14x0_pyridinic,2,0.2677823780959648,0.4464285714285714,0.4484304932735426,0.4484304932735426,6,0.39079653746530824,0.6996294613000007,4.5353023206121685,nan,2,0.0,-0.017,0.081,0.763333,2.0,0.0,3.0,1.0,1.8805714628417969,2.1661589530175624,2.0674479047851233,4.2157374023944625,0.008633298992788646,nan,1.3873163375954995,1.408017498021408
1N_1H_14x0_pyridinic,3,0.8862114175319825,0.4464285714285714,0.4484304932735426,0.4484304932735426,6,0.42923391603244854,0.7794191796999987,5.921458924542235,nan,2,0.0,0.013,-0.042,0.763333,2.0,0.0,3.0,1.0,2.065390966677229,2.09993946633504,2.0674479047851233,4.2157374023944625,0.0029652268063707324,nan,1.3873163375954995,1.4299471436120545
1N_1H_14x0_pyrrolic,0,-2.2763217448487896,0.4464285714285714,0.4484304932735426,0.4484304932735426,7,0.1323201679908553,0.8481342854999985,0.0,nan,2,0.0,-0.252,0.048,0.860556,3.0,0.0,3.0,0.0,1.843655563031977,2.44671690460005,1.843655563031977,2.44671690460005,nan,nan,1.414321257333663,1.533716650785481
1N_1H_14x0_pyrrolic,1,1.8356561349666802,0.4464285714285714,0.4484304932735426,0.4484304932735426,6,0.05469416283004116,0.44406437589999914,2.4903584132909793,nan,2,0.0,-0.011,-0.003,0.860556,3.0,0.0,3.0,1.0,2.044465602954395,2.1529914683447133,1.843655563031977,2.44671690460005,1.617450618225,nan,1.4279496972235048,1.4437426403487195
