Ead,cV,cN,cH,Z,rmsd,rmaxsd,dminNS,daveNS,dminHS,daveHS,mult,chir,q,mu,Egap,cnN,dcnN,cnS,dcnS,aminS,amaxS,aminN,amaxN,adispN,adispH
   0.680,   0.000,   0.446,   0.446,   6,   0.448,   0.807,   8.577,     nan,     nan,     nan,   2,   0.000,  -0.005,   0.009,   0.116,   3,   0,   3,   1,   2.064,   2.098,   2.057,   2.100,   3.136,     nan
   0.468,   0.000,   0.446,   0.446,   6,   0.402,   0.758,   5.153,     nan,     nan,     nan,   2,   0.000,   0.001,   0.002,   0.116,   3,   0,   3,   1,   2.066,   2.098,   2.057,   2.100,   2.900,     nan
   0.645,   0.000,   0.446,   0.446,   6,   0.401,   0.745,   6.547,     nan,     nan,     nan,   2,   0.000,  -0.002,   0.002,   0.116,   3,   0,   3,   1,   2.066,   2.098,   2.057,   2.100,   2.952,     nan
   0.585,   0.000,   0.446,   0.446,   6,   0.250,   0.482,   7.563,     nan,     nan,     nan,   2,   0.000,  -0.001,   0.007,   0.116,   3,   0,   3,   1,   2.069,   2.097,   2.057,   2.100,   2.812,     nan
   0.663,   0.000,   0.446,   0.446,   6,   0.249,   0.479,   8.927,     nan,     nan,     nan,   2,   0.000,   0.000,  -0.000,   0.116,   3,   0,   3,   1,   2.069,   2.097,   2.057,   2.100,   2.864,     nan
   0.640,   0.000,   0.446,   0.446,   6,   0.030,   0.374,   6.224,     nan,     nan,     nan,   2,   0.000,  -0.001,   0.004,   0.116,   3,   0,   3,   1,   2.071,   2.097,   2.057,   2.100,   2.514,     nan
   0.680,   0.000,   0.446,   0.446,   6,   0.028,   0.371,   7.422,     nan,     nan,     nan,   2,   0.000,  -0.002,   0.004,   0.116,   3,   0,   3,   1,   2.069,   2.097,   2.057,   2.100,   2.628,     nan
   0.646,   0.000,   0.446,   0.446,   6,   0.030,   0.362,   8.691,     nan,     nan,     nan,   2,   0.000,   0.000,   0.001,   0.116,   3,   0,   3,   1,   2.070,   2.096,   2.057,   2.100,   2.553,     nan
   0.669,   0.000,   0.446,   0.446,   6,   0.039,   0.363,   9.895,     nan,     nan,     nan,   2,   0.000,   0.000,  -0.002,   0.116,   3,   0,   3,   1,   2.070,   2.097,   2.057,   2.100,   2.634,     nan
   0.577,   0.000,   0.446,   0.446,   6,   0.247,   0.482,   7.953,     nan,     nan,     nan,   2,   0.000,  -0.002,   0.011,   0.116,   3,   0,   3,   1,   2.070,   2.097,   2.057,   2.100,   2.278,     nan
   0.654,   0.000,   0.446,   0.446,   6,   0.247,   0.484,   8.920,     nan,     nan,     nan,   2,   0.000,   0.000,   0.000,   0.116,   3,   0,   3,   1,   2.072,   2.096,   2.057,   2.100,   2.404,     nan
   0.628,   0.000,   0.446,   0.446,   6,   0.399,   0.737,  10.300,     nan,     nan,     nan,   2,   0.000,  -0.001,   0.007,   0.116,   3,   0,   3,   1,   2.070,   2.096,   2.057,   2.100,   2.377,     nan
   0.676,   0.000,   0.446,   0.446,   6,   0.400,   0.738,  11.331,     nan,     nan,     nan,   2,   0.000,  -0.001,   0.001,   0.116,   3,   0,   3,   1,   2.071,   2.096,   2.057,   2.100,   2.468,     nan
   0.628,   0.000,   0.446,   0.446,   6,   0.399,   0.737,  10.300,     nan,     nan,     nan,   2,   0.000,  -0.001,   0.007,   0.116,   3,   0,   3,   1,   2.070,   2.096,   2.057,   2.100,   2.377,     nan
   0.676,   0.000,   0.446,   0.446,   6,   0.400,   0.738,  11.331,     nan,     nan,     nan,   2,   0.000,  -0.001,   0.001,   0.116,   3,   0,   3,   1,   2.071,   2.096,   2.057,   2.100,   2.468,     nan
   0.577,   0.000,   0.446,   0.446,   6,   0.247,   0.482,   7.953,     nan,     nan,     nan,   2,   0.000,  -0.002,   0.011,   0.116,   3,   0,   3,   1,   2.070,   2.097,   2.057,   2.100,   2.278,     nan
   0.654,   0.000,   0.446,   0.446,   6,   0.247,   0.484,   8.920,     nan,     nan,     nan,   2,   0.000,   0.000,   0.000,   0.116,   3,   0,   3,   1,   2.071,   2.096,   2.057,   2.100,   2.404,     nan
   0.646,   0.000,   0.446,   0.446,   6,   0.030,   0.362,   8.691,     nan,     nan,     nan,   2,   0.000,   0.000,   0.001,   0.116,   3,   0,   3,   1,   2.070,   2.096,   2.057,   2.100,   2.553,     nan
   0.669,   0.000,   0.446,   0.446,   6,   0.039,   0.363,   9.895,     nan,     nan,     nan,   2,   0.000,   0.000,  -0.002,   0.116,   3,   0,   3,   1,   2.070,   2.097,   2.057,   2.100,   2.634,     nan
   0.633,   0.000,   0.446,   0.446,   6,   0.044,   0.400,   6.224,     nan,     nan,     nan,   2,   0.000,  -0.001,   0.004,   0.116,   3,   0,   3,   1,   2.071,   2.097,   2.057,   2.100,   2.514,     nan
   0.680,   0.000,   0.446,   0.446,   6,   0.028,   0.371,   7.422,     nan,     nan,     nan,   2,   0.000,  -0.002,   0.004,   0.116,   3,   0,   3,   1,   2.069,   2.097,   2.057,   2.100,   2.628,     nan
   0.585,   0.000,   0.446,   0.446,   6,   0.250,   0.481,   7.563,     nan,     nan,     nan,   2,   0.000,  -0.001,   0.007,   0.116,   3,   0,   3,   1,   2.069,   2.097,   2.057,   2.100,   2.812,     nan
   0.663,   0.000,   0.446,   0.446,   6,   0.249,   0.479,   8.927,     nan,     nan,     nan,   2,   0.000,   0.000,  -0.000,   0.116,   3,   0,   3,   1,   2.069,   2.097,   2.057,   2.100,   2.864,     nan
   0.468,   0.000,   0.446,   0.446,   6,   0.402,   0.758,   5.153,     nan,     nan,     nan,   2,   0.000,   0.001,   0.002,   0.116,   3,   0,   3,   1,   2.066,   2.098,   2.057,   2.100,   2.900,     nan
   0.645,   0.000,   0.446,   0.446,   6,   0.401,   0.745,   6.547,     nan,     nan,     nan,   2,   0.000,  -0.002,   0.002,   0.116,   3,   0,   3,   1,   2.066,   2.098,   2.057,   2.100,   2.952,     nan
   0.576,   0.000,   0.446,   0.446,   6,   0.454,   0.854,   7.149,     nan,     nan,     nan,   2,   0.000,  -0.000,   0.000,   0.116,   3,   0,   3,   1,   2.066,   2.097,   2.057,   2.100,   3.134,     nan
   0.644,   0.000,   0.446,   0.446,   6,   0.453,   0.836,   4.282,     nan,     nan,     nan,   2,   0.000,  -0.008,   0.012,   0.116,   3,   0,   3,   1,   2.064,   2.096,   2.057,   2.100,   3.129,     nan
  -0.024,   0.000,   0.446,   0.446,   6,   0.393,   0.739,   1.417,     nan,     nan,     nan,   2,   0.000,   0.134,   0.011,   0.116,   3,   0,   3,   1,   2.070,   2.103,   2.057,   2.100,   2.098,     nan
